fault_text1_clean,fault_text2_clean,semantic_similarity,data_source
继电器线圈烧毁 电阻值无穷大,继电器吸合不良 线圈电压正常但触点未闭合,1.0,original
变频器散热风扇故障 散热片温度达75,在运行中变频器散热风扇故障 散热片温度达75,0.85,generated
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.65,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器散热风扇故障 散热片温度达75,0.83,original
继电器接触不良 信号传输时断时续,继电器吸合不良 线圈电压正常但触点未闭合,0.88,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.87,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承间隙过大 径向游隙超0 15mm,0.84,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC断电记忆丢失 参数恢复至出厂默认值,0.61,original
传感器数值漂移 测量值比实际值高10,湿度增大后传感器数值漂移 测量值比实际值高10,0.63,generated
液压缸缓冲装置失效 行程末端冲击过大,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.63,original
轴承温升过高 连续运行2小时后温度达80,轴承润滑脂干涸 出现干摩擦异响,0.51,original
离心泵密封泄漏 机械密封端面磨损,离心泵轴承发热 温度达75,0.63,original
传感器数值漂移 测量值比实际值高10,传感器无输出信号 接线端子接触不良,0.58,original
变频器过流跳闸 输出电流超额定30,轴承温升过高 连续运行2小时后温度达80,0.27,generated
轴承润滑脂干涸 出现干摩擦异响,轴承磨损异响 运转时出现周期性异音,0.56,original
PLC信号丢失 传感器反馈数据无更新,PLC通讯故障 与变频器的Modbus连接中断,0.49,original
离心泵流量不足 出口管路堵塞,离心泵空转异响 进口阀门未打开导致气蚀,0.86,original
PLC信号丢失 传感器反馈数据无更新,PLC输入输出点I0 2损坏 无信号输入,0.65,original
PLC输入输出点I0 2损坏 无信号输入,PLC断电记忆丢失 参数恢复至出厂默认值,0.62,original
离心泵流量不足 出口管路堵塞,轴承润滑脂干涸 出现干摩擦异响,0.05,generated
离心泵密封泄漏 机械密封端面磨损,离心泵密封泄漏 在运行中机械密封端面磨损,0.92,generated
传感器抗干扰差 受电磁干扰出现跳变,传感器抗干扰差 受电磁干扰出现跳变,1.0,generated
继电器接触不良 信号传输时断时续,继电器接触不良 信号传输时断时续,0.67,generated
变频器过压报警 直流母线电压达800V,变频器参数紊乱 加速时间被异常修改,0.49,original
电机过载停机 故障代码E012 需重启复位,电机连续运行8小时后出现异响 振动值超额定20,0.85,original
传感器量程超限 显示值固定为最大值,传感器响应延迟 信号滞后2秒,0.89,generated
离心泵空转异响 进口阀门未打开导致气蚀,液压缸压力不足 工作压力仅达额定60,0.08,original
离心泵流量不足 出口管路堵塞,继电器触点烧蚀 接触电阻增大至5Ω,0.03,original
电机负载达额定120 时出现过热 绕组温度升至105,电机负载达额定120 时出现过热 绕组温度升至105,0.65,original
轴承温升过高 连续运行2小时后温度达80,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.33,generated
传感器响应延迟 信号滞后2秒,传感器抗干扰差 受电磁干扰出现跳变,0.92,original
轴承间隙过大 径向游隙超0 15mm,轴承润滑脂干涸 出现干摩擦异响,0.92,original
继电器线圈烧毁 电阻值无穷大,继电器线圈烧毁 持续性电阻值无穷大,0.77,generated
继电器触点烧蚀 接触电阻增大至5Ω,轴承间隙过大 径向游隙超0 15mm,0.29,generated
离心泵密封泄漏 机械密封端面磨损,变频器频率漂移 设定50Hz实际输出45Hz,0.13,original
变频器散热风扇故障 散热片温度达75,变频器频率漂移 设定50Hz实际输出45Hz,0.47,original
变频器过压报警 直流母线电压达800V,传感器抗干扰差 受电磁干扰出现跳变,0.47,generated
轴承滚珠破损 振动频谱出现冲击峰值,传感器响应延迟 信号滞后2秒,0.53,generated
离心泵密封泄漏 机械密封端面磨损,离心泵流量不足 出口管路堵塞,0.89,original
液压缸压力不足 工作压力仅达额定60,液压缸缓冲装置失效 行程末端冲击过大,0.54,original
电机负载达额定120 时出现过热 绕组温度升至105,电机负载达额定120 时出现过热 绕组温度升至105,0.66,original
变频器过流跳闸 输出电流超额定30,变频器过压报警 直流母线电压达800V,0.89,original
轴承温升过高 连续运行2小时后温度达80,轴承磨损异响 运转时出现周期性异音,0.89,original
变频器散热风扇故障 散热片温度达75,变频器散热风扇故障 周期性散热片温度达75,0.85,generated
电机负载达额定120 时出现过热 绕组温度升至105,电机过载停机 故障代码E012 需重启复位,0.41,original
轴承温升过高 连续运行2小时后温度达80,轴承滚珠破损 振动频谱出现冲击峰值,0.82,original
离心泵叶轮磨损 流量下降至额定70,离心泵轴承发热 温度达75,0.83,original
离心泵叶轮磨损 流量下降至额定70,电机轴承润滑不足导致转速异常 输出转速波动 5,0.13,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸活塞杆变形 伸出时出现偏斜,0.64,original
继电器接触不良 信号传输时断时续,继电器吸合不良 线圈电压正常但触点未闭合,0.61,original
离心泵密封泄漏 机械密封端面磨损,离心泵轴承发热 温度达75,0.59,original
轴承润滑脂干涸 出现干摩擦异响,轴承润滑脂干涸 出现干摩擦异响,0.52,original
传感器无输出信号 接线端子接触不良,液压缸压力不足 工作压力仅达额定60,0.11,generated
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.62,original
轴承间隙过大 径向游隙超0 15mm,轴承温升过高 连续运行2小时后温度达80,0.6,original
轴承滚珠破损 振动频谱出现冲击峰值,电机轴承润滑不足导致转速异常 输出转速波动 5,0.28,original
液压缸压力不足 工作压力仅达额定60,轴承滚珠破损 振动频谱出现冲击峰值,0.15,original
传感器无输出信号 接线端子接触不良,传感器无输出信号 接线端子接触不良,0.67,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承滚珠破损 振动频谱出现冲击峰值,0.4,original
轴承磨损异响 运转时出现周期性异音,在启动时轴承磨损异响 运转时出现周期性异音,0.79,generated
PLC程序报错 梯形图逻辑错误导致误动作,PLC输入输出点I0 2损坏 无信号输入,0.58,original
传感器抗干扰差 受电磁干扰出现跳变,传感器量程超限 显示值固定为最大值,0.41,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸压力不足 工作压力仅达额定60,0.87,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器触点烧蚀 电压波动时接触电阻增大至5Ω,0.75,generated
离心泵空转异响 进口阀门未打开导致气蚀,离心泵流量不足 出口管路堵塞,0.41,original
传感器无输出信号 接线端子接触不良,传感器无输出信号 轻微接线端子接触不良,0.81,generated
传感器无输出信号 接线端子接触不良,传感器抗干扰差 受电磁干扰出现跳变,0.5,original
液压缸压力不足 工作压力仅达额定60,频繁液压缸压力不足 工作压力仅达额定60,0.81,generated
变频器参数紊乱 加速时间被异常修改,变频器过压报警 直流母线电压达800V,0.96,original
离心泵密封泄漏 机械密封端面磨损,离心泵流量不足 出口管路堵塞,0.98,original
继电器接触不良 信号传输时断时续,继电器触点烧蚀 接触电阻增大至5Ω,0.85,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机轴承润滑不足导致转速异常 输出转速波动 5,0.99,original
离心泵轴承发热 温度达75,离心泵空转异响 进口阀门未打开导致气蚀,0.96,original
轴承间隙过大 径向游隙超0 15mm,轴承磨损异响 运转时出现周期性异音,0.49,original
变频器散热风扇故障 散热片温度达75,PLC通讯故障 与变频器的Modbus连接中断,0.17,original
离心泵轴承发热 温度达75,传感器量程超限 显示值固定为最大值,0.06,original
继电器线圈烧毁 电阻值无穷大,继电器接触不良 信号传输时断时续,0.55,original
传感器抗干扰差 受电磁干扰出现跳变,传感器抗干扰差 受电磁干扰出现跳变,0.63,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器散热风扇故障 散热片温度达75,0.63,original
继电器触点烧蚀 接触电阻增大至5Ω,PLC输入输出点I0 2损坏 无信号输入,0.2,original
离心泵流量不足 出口管路堵塞,液压缸压力不足 工作压力仅达额定60,0.27,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器散热风扇故障 散热片温度达75,0.67,original
轴承间隙过大 径向游隙超0 15mm,变频器过流跳闸 输出电流超额定30,0.09,original
液压缸压力不足 工作压力仅达额定60,液压缸动作卡顿 换向时出现滞涩现象,0.89,original
传感器无输出信号 接线端子接触不良,传感器数值漂移 测量值比实际值高10,0.08,generated
轴承间隙过大 径向游隙超0 15mm,轴承润滑脂干涸 出现干摩擦异响,0.47,original
变频器过流跳闸 输出电流超额定30,变频器参数紊乱 加速时间被异常修改,0.92,original
变频器过压报警 直流母线电压达800V,轴承滚珠破损 振动频谱出现冲击峰值,0.07,generated
PLC通讯故障 与变频器的Modbus连接中断,PLC信号丢失 传感器反馈数据无更新,0.68,original
变频器过流跳闸 输出电流超额定30,轴承润滑脂干涸 出现干摩擦异响,0.82,generated
变频器频率漂移 设定50Hz实际输出45Hz,变频器过压报警 直流母线电压达800V,0.5,original
继电器接触不良 信号传输时断时续,继电器接触不良 严重信号传输时断时续,0.85,generated
传感器数值漂移 测量值比实际值高10,轴承间隙过大 径向游隙超0 15mm,0.02,original
离心泵轴承发热 温度达75,离心泵空转异响 进口阀门未打开导致气蚀,0.45,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器频率漂移 设定50Hz实际输出45Hz,0.66,original
传感器量程超限 显示值固定为最大值,传感器量程超限 轻微显示值固定为最大值,0.7,generated
变频器过流跳闸 输出电流超额定30,轴承磨损异响 运转时出现周期性异音,0.03,original
轴承磨损异响 运转时出现周期性异音,轴承滚珠破损 振动频谱出现冲击峰值,0.82,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.54,original
继电器线圈烧毁 电阻值无穷大,继电器触点烧蚀 接触电阻增大至5Ω,0.5,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器频率漂移 设定50Hz实际输出45Hz,0.44,original
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.51,original
传感器无输出信号 接线端子接触不良,传感器量程超限 显示值固定为最大值,0.5,original
继电器线圈烧毁 电阻值无穷大,液压缸活塞杆变形 伸出时出现偏斜,0.74,generated
变频器过流跳闸 输出电流超额定30,传感器无输出信号 接线端子接触不良,0.18,original
PLC输入输出点I0 2损坏 无信号输入,PLC输入输出点I0 2损坏 无信号输入,0.69,original
液压缸缓冲装置失效 行程末端冲击过大,电机过载停机 故障代码E012 需重启复位,0.1,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸密封件损坏导致漏油 每小时泄漏5ml,1.0,original
传感器数值漂移 测量值比实际值高10,传感器响应延迟 信号滞后2秒,0.96,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器过流跳闸 输出电流超额定30,0.46,original
轴承滚珠破损 振动频谱出现冲击峰值,变频器过压报警 直流母线电压达800V,0.08,generated
离心泵空转异响 进口阀门未打开导致气蚀,离心泵流量不足 出口管路堵塞,0.83,original
轴承磨损异响 运转时出现周期性异音,轴承滚珠破损 振动频谱出现冲击峰值,0.69,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸活塞杆变形 伸出时出现偏斜,0.66,original
电机过载停机 故障代码E012 需重启复位,电机负载达额定120 时出现过热 绕组温度升至105,0.66,original
传感器抗干扰差 受电磁干扰出现跳变,离心泵叶轮磨损 流量下降至额定70,0.46,generated
离心泵叶轮磨损 流量下降至额定70,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.06,original
传感器响应延迟 信号滞后2秒,传感器抗干扰差 受电磁干扰出现跳变,0.88,original
传感器数值漂移 测量值比实际值高10,变频器频率漂移 设定50Hz实际输出45Hz,0.25,original
继电器误动作 无输入信号时触点自行闭合,PLC通讯故障 与变频器的Modbus连接中断,0.23,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器线圈烧毁 电阻值无穷大,0.41,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC程序报错 梯形图逻辑错误导致误动作,0.42,original
离心泵轴承发热 温度达75,液压缸动作卡顿 换向时出现滞涩现象,0.28,original
继电器接触不良 信号传输时断时续,继电器接触不良 信号传输时断时续,0.67,original
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.89,original
PLC信号丢失 传感器反馈数据无更新,PLC程序报错 梯形图逻辑错误导致误动作,0.81,original
