stopword,stopword_type,usage_frequency
的,连词,0.85
了,语气词,0.87
在,语气词,0.8
是,语气词,0.87
我,助词,0.77
有,助词,0.78
和,连词,0.75
就,语气词,0.61
不,介词,0.64
人,副词,0.61
都,连词,0.82
一,副词,0.71
一个,副词,0.78
上,语气词,0.92
也,助词,0.69
很,助词,0.74
到,连词,0.86
说,介词,0.68
要,助词,0.63
去,语气词,0.7
你,连词,0.66
会,连词,0.93
着,副词,0.88
没,副词,0.82
看,介词,0.91
好,连词,0.88
自己,语气词,0.67
这,副词,0.91
时,副词,0.79
后,介词,0.88
达,助词,0.91
过,助词,0.71
当,语气词,0.64
经,助词,0.68
已,连词,0.75
将,助词,0.89
与,连词,0.9
及,语气词,0.6
或,介词,0.78
等,语气词,0.75
其,副词,0.68
所,副词,0.64
可,副词,0.72
能,介词,0.93
应,语气词,0.71
需,副词,0.78
须,副词,0.85
即,语气词,0.73
则,连词,0.94
而,语气词,0.94
因,助词,0.69
由,助词,0.77
为,语气词,0.71
使,连词,0.7
让,连词,0.61
被,介词,0.81
把,副词,0.78
对,连词,0.62
于,介词,0.7
关于,连词,0.92
按,助词,0.68
照,介词,0.65
依,介词,0.77
据,副词,0.94
如,助词,0.68
若,连词,0.84
现,连词,0.87
现以,语气词,0.68
实际,介词,0.85
设定,介词,0.73
出现,连词,0.82
发生,介词,0.82
导致,介词,0.79
造成,语气词,0.63
引起,助词,0.89
产生,介词,0.71
形成,副词,0.67
变为,副词,0.61
成为,语气词,0.81
显示,介词,0.84
指示,助词,0.61
表明,介词,0.78
证明,语气词,0.68
确认,副词,0.83
检查,连词,0.66
检测,连词,0.84
测量,助词,0.74
测试,副词,0.93
运行,语气词,0.65
操作,语气词,0.72
使用,连词,0.64
应用,连词,0.92
采用,连词,0.91
通过,助词,0.69
经过,助词,0.83
利用,副词,0.89
借助,语气词,0.79
基于,连词,0.79
根据,介词,0.68
结合,副词,0.63
配合,介词,0.91
协同,语气词,0.92
