fault_category,fault_keyword,keyword_relevance,keyword_type
液压系统,液压缸,0.87,设备部件
液压系统,液压泵,0.99,设备部件
液压系统,液压阀,0.95,故障原因
液压系统,液压油,0.92,故障现象
液压系统,泄漏,0.83,故障现象
液压系统,压力不足,0.83,故障现象
液压系统,缓冲装置,0.81,设备部件
液压系统,活塞杆,0.97,设备部件
液压系统,密封圈,0.92,故障参数
电气系统,电机,0.94,设备部件
电气系统,电缆,0.8,设备部件
电气系统,绝缘,0.99,设备部件
电气系统,过载,0.97,故障现象
电气系统,短路,0.84,故障现象
电气系统,接地,0.84,设备部件
电气系统,接触器,0.84,故障现象
电气系统,继电器,0.86,故障参数
电气系统,保险丝,0.9,故障现象
电气系统,故障代码,0.89,故障参数
机械系统,轴承,0.86,故障原因
机械系统,齿轮,0.92,设备部件
机械系统,轴,0.83,故障现象
机械系统,联轴器,0.86,故障参数
机械系统,振动,0.87,故障原因
机械系统,温升,0.89,故障原因
机械系统,磨损,0.96,故障现象
机械系统,异响,0.84,故障现象
机械系统,变形,0.9,故障原因
机械系统,断裂,0.92,设备部件
控制系统,PLC,0.81,设备部件
控制系统,变频器,0.92,故障参数
控制系统,触摸屏,0.83,设备部件
控制系统,通讯,0.81,故障原因
控制系统,Modbus,0.99,故障原因
控制系统,信号,0.99,故障原因
控制系统,程序,0.96,设备部件
控制系统,参数,0.86,故障参数
控制系统,输入输出,0.82,设备部件
控制系统,中断,0.94,故障参数
传动系统,减速器,0.89,设备部件
传动系统,传送带,0.82,故障原因
传动系统,链条,0.9,故障原因
传动系统,皮带,0.81,故障现象
传动系统,张紧度,0.98,设备部件
传动系统,打滑,0.85,设备部件
传动系统,同步,0.93,故障现象
传动系统,转速,0.86,故障原因
传动系统,扭矩,0.9,设备部件
传动系统,传动比,0.91,故障现象
润滑系统,润滑油,0.84,设备部件
润滑系统,润滑脂,0.99,故障参数
润滑系统,油路,0.96,故障原因
润滑系统,过滤器,0.99,故障参数
润滑系统,供油,0.98,故障原因
润滑系统,润滑点,0.92,故障现象
润滑系统,粘度,0.98,故障原因
润滑系统,污染,0.82,故障原因
润滑系统,润滑不良,0.84,故障现象
冷却系统,散热器,0.81,故障原因
冷却系统,风扇,0.87,设备部件
冷却系统,冷却液,0.88,故障现象
冷却系统,温度过高,0.85,故障现象
冷却系统,散热不良,0.97,故障现象
冷却系统,冷却泵,0.87,故障参数
冷却系统,温控器,0.86,故障参数
冷却系统,水垢,0.91,故障原因
气动系统,气缸,0.83,故障现象
气动系统,气源,0.96,故障原因
气动系统,减压阀,0.81,设备部件
气动系统,电磁阀,1.0,故障现象
气动系统,气压,0.95,设备部件
气动系统,气路,0.84,故障原因
气动系统,过滤器,0.8,故障参数
气动系统,排水,0.96,故障原因
气动系统,漏气,0.94,设备部件
传感器系统,温度传感器,0.95,故障现象
传感器系统,压力传感器,0.95,故障原因
传感器系统,液位传感器,0.81,故障现象
传感器系统,位移传感器,0.87,故障参数
传感器系统,信号漂移,0.82,故障参数
传感器系统,校准,0.97,故障参数
传感器系统,精度,0.92,故障现象
传感器系统,故障,0.87,故障原因
执行器系统,电磁阀,0.81,故障现象
执行器系统,伺服阀,0.86,故障现象
执行器系统,气缸,0.87,故障原因
执行器系统,液压缸,0.95,故障参数
执行器系统,动作迟缓,0.93,故障参数
执行器系统,定位不准,0.98,故障原因
执行器系统,响应慢,0.89,故障现象
执行器系统,卡滞,0.82,故障现象
