fault_text1,fault_text2,semantic_similarity
液压缸缓冲装置失效，行程末端冲击过大,液压缸活塞杆变形，伸出时出现偏斜,0.88
电机过载停机，故障代码E012，需重启复位,电机过载停机，故障代码E012，需重启复位,0.42
轴承温升过高，连续运行2小时后温度达80℃,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.1
轴承温升过高，连续运行2小时后温度达80℃,轴承滚珠破损，振动频谱出现冲击峰值,0.82
PLC通讯故障，与变频器的Modbus连接中断,PLC输入输出点I0.2损坏，无信号输入,0.91
离心泵轴承发热，温度达75℃,离心泵空转异响，进口阀门未打开导致气蚀,0.92
电机过载停机，故障代码E012，需重启复位,轴承润滑脂干涸，出现干摩擦异响,0.21
电机过载停机，故障代码E012，需重启复位,电机连续运行8小时后出现异响，振动值超额定20%,0.68
离心泵叶轮磨损，流量下降至额定70%,离心泵密封泄漏，机械密封端面磨损,0.56
变频器过压报警，直流母线电压达800V,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.25
离心泵密封泄漏，机械密封端面磨损,PLC程序报错，梯形图逻辑错误导致误动作,0.01
变频器过压报警，直流母线电压达800V,变频器参数紊乱，加速时间被异常修改,0.92
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.5
轴承温升过高，连续运行2小时后温度达80℃,轴承温升过高，连续运行2小时后温度达80℃,0.45
变频器散热风扇故障，散热片温度达75℃,变频器频率漂移，设定50Hz实际输出45Hz,0.68
PLC通讯故障，与变频器的Modbus连接中断,继电器接触不良，信号传输时断时续,0.01
传感器响应延迟，信号滞后2秒,传感器数值漂移，测量值比实际值高10%,0.99
电机过载停机，故障代码E012，需重启复位,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.62
轴承间隙过大，径向游隙超0.15mm,轴承温升过高，连续运行2小时后温度达80℃,0.44
继电器触点烧蚀，接触电阻增大至5Ω,继电器吸合不良，线圈电压正常但触点未闭合,0.68
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机负载达额定120%时出现过热，绕组温度升至105℃,0.48
轴承间隙过大，径向游隙超0.15mm,轴承温升过高，连续运行2小时后温度达80℃,0.46
液压缸压力不足，工作压力仅达额定60%,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.88
PLC通讯故障，与变频器的Modbus连接中断,PLC输入输出点I0.2损坏，无信号输入,0.43
轴承间隙过大，径向游隙超0.15mm,轴承润滑脂干涸，出现干摩擦异响,0.59
变频器过压报警，直流母线电压达800V,变频器过流跳闸，输出电流超额定30%,0.41
离心泵叶轮磨损，流量下降至额定70%,离心泵密封泄漏，机械密封端面磨损,0.83
继电器触点烧蚀，接触电阻增大至5Ω,继电器误动作，无输入信号时触点自行闭合,0.99
电机负载达额定120%时出现过热，绕组温度升至105℃,电机过载停机，故障代码E012，需重启复位,0.9
PLC输入输出点I0.2损坏，无信号输入,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.0
PLC输入输出点I0.2损坏，无信号输入,PLC通讯故障，与变频器的Modbus连接中断,0.68
轴承润滑脂干涸，出现干摩擦异响,传感器量程超限，显示值固定为最大值,0.01
轴承间隙过大，径向游隙超0.15mm,轴承滚珠破损，振动频谱出现冲击峰值,0.87
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸缓冲装置失效，行程末端冲击过大,0.5
PLC信号丢失，传感器反馈数据无更新,PLC通讯故障，与变频器的Modbus连接中断,0.99
传感器无输出信号，接线端子接触不良,传感器抗干扰差，受电磁干扰出现跳变,0.68
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸动作卡顿，换向时出现滞涩现象,0.66
变频器散热风扇故障，散热片温度达75℃,变频器参数紊乱，加速时间被异常修改,0.69
PLC输入输出点I0.2损坏，无信号输入,PLC断电记忆丢失，参数恢复至出厂默认值,0.43
电机过载停机，故障代码E012，需重启复位,电机连续运行8小时后出现异响，振动值超额定20%,0.43
PLC信号丢失，传感器反馈数据无更新,离心泵密封泄漏，机械密封端面磨损,0.12
变频器频率漂移，设定50Hz实际输出45Hz,变频器散热风扇故障，散热片温度达75℃,0.67
继电器误动作，无输入信号时触点自行闭合,PLC通讯故障，与变频器的Modbus连接中断,0.23
继电器触点烧蚀，接触电阻增大至5Ω,继电器误动作，无输入信号时触点自行闭合,0.59
离心泵叶轮磨损，流量下降至额定70%,离心泵密封泄漏，机械密封端面磨损,0.95
传感器响应延迟，信号滞后2秒,传感器抗干扰差，受电磁干扰出现跳变,0.42
传感器量程超限，显示值固定为最大值,传感器数值漂移，测量值比实际值高10%,0.89
轴承润滑脂干涸，出现干摩擦异响,轴承磨损异响，运转时出现周期性异音,0.61
变频器频率漂移，设定50Hz实际输出45Hz,变频器过流跳闸，输出电流超额定30%,0.61
轴承温升过高，连续运行2小时后温度达80℃,轴承温升过高，连续运行2小时后温度达80℃,0.41
继电器误动作，无输入信号时触点自行闭合,传感器数值漂移，测量值比实际值高10%,0.04
轴承温升过高，连续运行2小时后温度达80℃,轴承间隙过大，径向游隙超0.15mm,0.55
传感器响应延迟，信号滞后2秒,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.05
变频器过流跳闸，输出电流超额定30%,变频器过压报警，直流母线电压达800V,0.52
离心泵叶轮磨损，流量下降至额定70%,离心泵流量不足，出口管路堵塞,0.46
变频器过流跳闸，输出电流超额定30%,变频器过压报警，直流母线电压达800V,0.56
离心泵空转异响，进口阀门未打开导致气蚀,电机连续运行8小时后出现异响，振动值超额定20%,0.14
液压缸活塞杆变形，伸出时出现偏斜,液压缸动作卡顿，换向时出现滞涩现象,0.49
传感器抗干扰差，受电磁干扰出现跳变,传感器量程超限，显示值固定为最大值,0.69
变频器过压报警，直流母线电压达800V,变频器过流跳闸，输出电流超额定30%,0.54
离心泵流量不足，出口管路堵塞,离心泵空转异响，进口阀门未打开导致气蚀,0.49
传感器数值漂移，测量值比实际值高10%,变频器频率漂移，设定50Hz实际输出45Hz,0.07
轴承磨损异响，运转时出现周期性异音,变频器散热风扇故障，散热片温度达75℃,0.05
传感器抗干扰差，受电磁干扰出现跳变,传感器抗干扰差，受电磁干扰出现跳变,0.64
继电器误动作，无输入信号时触点自行闭合,继电器接触不良，信号传输时断时续,0.94
传感器抗干扰差，受电磁干扰出现跳变,传感器数值漂移，测量值比实际值高10%,0.87
离心泵叶轮磨损，流量下降至额定70%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.06
液压缸活塞杆变形，伸出时出现偏斜,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.48
离心泵流量不足，出口管路堵塞,离心泵流量不足，出口管路堵塞,0.66
传感器数值漂移，测量值比实际值高10%,传感器无输出信号，接线端子接触不良,0.58
PLC信号丢失，传感器反馈数据无更新,PLC断电记忆丢失，参数恢复至出厂默认值,0.86
传感器抗干扰差，受电磁干扰出现跳变,离心泵流量不足，出口管路堵塞,0.11
液压缸缓冲装置失效，行程末端冲击过大,液压缸压力不足，工作压力仅达额定60%,0.6
继电器线圈烧毁，电阻值无穷大,继电器吸合不良，线圈电压正常但触点未闭合,0.43
离心泵轴承发热，温度达75℃,离心泵密封泄漏，机械密封端面磨损,0.46
液压缸动作卡顿，换向时出现滞涩现象,离心泵轴承发热，温度达75℃,0.05
轴承润滑脂干涸，出现干摩擦异响,轴承磨损异响，运转时出现周期性异音,0.99
离心泵叶轮磨损，流量下降至额定70%,液压缸压力不足，工作压力仅达额定60%,0.2
轴承滚珠破损，振动频谱出现冲击峰值,轴承润滑脂干涸，出现干摩擦异响,0.59
离心泵叶轮磨损，流量下降至额定70%,离心泵空转异响，进口阀门未打开导致气蚀,0.83
轴承间隙过大，径向游隙超0.15mm,电机过载停机，故障代码E012，需重启复位,0.18
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.88
电机过载停机，故障代码E012，需重启复位,电机负载达额定120%时出现过热，绕组温度升至105℃,0.45
PLC通讯故障，与变频器的Modbus连接中断,传感器无输出信号，接线端子接触不良,0.06
PLC信号丢失，传感器反馈数据无更新,PLC输入输出点I0.2损坏，无信号输入,0.91
PLC信号丢失，传感器反馈数据无更新,PLC断电记忆丢失，参数恢复至出厂默认值,0.8
PLC程序报错，梯形图逻辑错误导致误动作,PLC信号丢失，传感器反馈数据无更新,0.99
液压缸缓冲装置失效，行程末端冲击过大,液压缸缓冲装置失效，行程末端冲击过大,0.4
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.45
液压缸动作卡顿，换向时出现滞涩现象,液压缸动作卡顿，换向时出现滞涩现象,0.53
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.62
PLC通讯故障，与变频器的Modbus连接中断,PLC通讯故障，与变频器的Modbus连接中断,0.64
