original_text,segmented_text,filtered_text,word_count,key_words,word_frequency,text_length
液压缸缓冲装置失效，行程末端冲击过大,液压缸缓冲装置失效 行程末端冲击过大,液压缸缓冲装置失效 行程末端冲击过大,2,"液压缸缓冲装置失效, 行程末端冲击过大","{'液压缸缓冲装置失效': 1, '行程末端冲击过大': 1}",18
变频器过流跳闸，输出电流超额定30%,变频器过流跳闸 输出电流超额定30%,变频器过流跳闸 输出电流超额定30%,2,"变频器过流跳闸, 输出电流超额定30%","{'变频器过流跳闸': 1, '输出电流超额定30%': 1}",18
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机环境湿度80%时出现绝缘不良 绝缘电阻低于0.5MΩ,电机环境湿度80%时出现绝缘不良 绝缘电阻低于0.5MΩ,2,"电机环境湿度80%时出现绝缘不良, 绝缘电阻低于0.5MΩ","{'电机环境湿度80%时出现绝缘不良': 1, '绝缘电阻低于0.5MΩ': 1}",28
变频器频率漂移，设定50Hz实际输出45Hz,变频器频率漂移 设定50Hz实际输出45Hz,变频器频率漂移 设定50Hz实际输出45Hz,2,"变频器频率漂移, 设定50Hz实际输出45Hz","{'变频器频率漂移': 1, '设定50Hz实际输出45Hz': 1}",22
继电器接触不良，信号传输时断时续,继电器接触不良 信号传输时断时续,继电器接触不良 信号传输时断时续,2,"继电器接触不良, 信号传输时断时续","{'继电器接触不良': 1, '信号传输时断时续': 1}",16
传感器量程超限，显示值固定为最大值,传感器量程超限 显示值固定为最大值,传感器量程超限 显示值固定为最大值,2,"传感器量程超限, 显示值固定为最大值","{'传感器量程超限': 1, '显示值固定为最大值': 1}",17
PLC通讯故障，与变频器的Modbus连接中断,PLC通讯故障 与变频器的Modbus连接中断,PLC通讯故障 与变频器的Modbus连接中断,2,"PLC通讯故障, 与变频器的Modbus连接中断","{'PLC通讯故障': 1, '与变频器的Modbus连接中断': 1}",23
轴承磨损异响，运转时出现周期性异音,轴承磨损异响 运转时出现周期性异音,轴承磨损异响 运转时出现周期性异音,2,"轴承磨损异响, 运转时出现周期性异音","{'轴承磨损异响': 1, '运转时出现周期性异音': 1}",17
PLC信号丢失，传感器反馈数据无更新,PLC信号丢失 传感器反馈数据无更新,PLC信号丢失 传感器反馈数据无更新,2,"PLC信号丢失, 传感器反馈数据无更新","{'PLC信号丢失': 1, '传感器反馈数据无更新': 1}",18
继电器吸合不良，线圈电压正常但触点未闭合,继电器吸合不良 线圈电压正常但触点未闭合,继电器吸合不良 线圈电压正常但触点未闭合,2,"继电器吸合不良, 线圈电压正常但触点未闭合","{'继电器吸合不良': 1, '线圈电压正常但触点未闭合': 1}",20
电机过载停机，故障代码E012，需重启复位,电机过载停机 故障代码E012 需重启复位,电机过载停机 故障代码E012 需重启复位,3,"电机过载停机, 故障代码E012, 需重启复位","{'电机过载停机': 1, '故障代码E012': 1, '需重启复位': 1}",21
离心泵轴承发热，温度达75℃,离心泵轴承发热 温度达75℃,离心泵轴承发热 温度达75℃,2,"离心泵轴承发热, 温度达75℃","{'离心泵轴承发热': 1, '温度达75℃': 1}",14
传感器响应延迟，信号滞后2秒,传感器响应延迟 信号滞后2秒,传感器响应延迟 信号滞后2秒,2,"传感器响应延迟, 信号滞后2秒","{'传感器响应延迟': 1, '信号滞后2秒': 1}",14
离心泵空转异响，进口阀门未打开导致气蚀,离心泵空转异响 进口阀门未打开导致气蚀,离心泵空转异响 进口阀门未打开导致气蚀,2,"离心泵空转异响, 进口阀门未打开导致气蚀","{'离心泵空转异响': 1, '进口阀门未打开导致气蚀': 1}",19
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸密封件损坏导致漏油 每小时泄漏5ml,2,"液压缸密封件损坏导致漏油, 每小时泄漏5ml","{'液压缸密封件损坏导致漏油': 1, '每小时泄漏5ml': 1}",21
变频器散热风扇故障，散热片温度达75℃,变频器散热风扇故障 散热片温度达75℃,变频器散热风扇故障 散热片温度达75℃,2,"变频器散热风扇故障, 散热片温度达75℃","{'变频器散热风扇故障': 1, '散热片温度达75℃': 1}",19
电机负载达额定120%时出现过热，绕组温度升至105℃,电机负载达额定120%时出现过热 绕组温度升至105℃,电机负载达额定120%时出现过热 绕组温度升至105℃,2,"电机负载达额定120%时出现过热, 绕组温度升至105℃","{'电机负载达额定120%时出现过热': 1, '绕组温度升至105℃': 1}",27
传感器无输出信号，接线端子接触不良,传感器无输出信号 接线端子接触不良,传感器无输出信号 接线端子接触不良,2,"传感器无输出信号, 接线端子接触不良","{'传感器无输出信号': 1, '接线端子接触不良': 1}",17
变频器过压报警，直流母线电压达800V,变频器过压报警 直流母线电压达800V,变频器过压报警 直流母线电压达800V,2,"变频器过压报警, 直流母线电压达800V","{'变频器过压报警': 1, '直流母线电压达800V': 1}",19
变频器参数紊乱，加速时间被异常修改,变频器参数紊乱 加速时间被异常修改,变频器参数紊乱 加速时间被异常修改,2,"变频器参数紊乱, 加速时间被异常修改","{'变频器参数紊乱': 1, '加速时间被异常修改': 1}",17
轴承润滑脂干涸，出现干摩擦异响,轴承润滑脂干涸 出现干摩擦异响,轴承润滑脂干涸 出现干摩擦异响,2,"轴承润滑脂干涸, 出现干摩擦异响","{'轴承润滑脂干涸': 1, '出现干摩擦异响': 1}",15
继电器线圈烧毁，电阻值无穷大,继电器线圈烧毁 电阻值无穷大,继电器线圈烧毁 电阻值无穷大,2,"继电器线圈烧毁, 电阻值无穷大","{'继电器线圈烧毁': 1, '电阻值无穷大': 1}",14
电机连续运行8小时后出现异响，振动值超额定20%,电机连续运行8小时后出现异响 振动值超额定20%,电机连续运行8小时后出现异响 振动值超额定20%,2,"电机连续运行8小时后出现异响, 振动值超额定20%","{'电机连续运行8小时后出现异响': 1, '振动值超额定20%': 1}",24
离心泵流量不足，出口管路堵塞,离心泵流量不足 出口管路堵塞,离心泵流量不足 出口管路堵塞,2,"离心泵流量不足, 出口管路堵塞","{'离心泵流量不足': 1, '出口管路堵塞': 1}",14
PLC程序报错，梯形图逻辑错误导致误动作,PLC程序报错 梯形图逻辑错误导致误动作,PLC程序报错 梯形图逻辑错误导致误动作,2,"PLC程序报错, 梯形图逻辑错误导致误动作","{'PLC程序报错': 1, '梯形图逻辑错误导致误动作': 1}",20
