text,char_count,word_count,digit_count,special_char_count,matched_keywords,keyword_count,avg_word_length
液压缸缓冲装置失效，行程末端冲击过大,18,2,0,0,"液压缸, 缓冲装置",2,9.0
变频器过流跳闸，输出电流超额定30%,18,2,2,1,变频器,1,9.0
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,28,2,4,3,"绝缘, 电机",2,14.0
变频器频率漂移，设定50Hz实际输出45Hz,22,2,4,4,变频器,1,11.0
继电器接触不良，信号传输时断时续,16,2,0,0,"信号, 继电器",2,8.0
传感器量程超限，显示值固定为最大值,17,2,0,0,无,0,8.5
PLC通讯故障，与变频器的Modbus连接中断,23,2,0,1,"通讯, 故障, PLC, 中断, 变频器, Modbus",6,11.5
轴承磨损异响，运转时出现周期性异音,17,2,0,0,"异响, 磨损, 轴, 轴承",4,8.5
PLC信号丢失，传感器反馈数据无更新,18,2,0,0,"信号, PLC",2,9.0
继电器吸合不良，线圈电压正常但触点未闭合,20,2,0,0,继电器,1,10.0
电机过载停机，故障代码E012，需重启复位,21,3,3,0,"过载, 故障代码, 电机, 故障",4,7.0
离心泵轴承发热，温度达75℃,14,2,2,1,"轴, 轴承",2,7.0
传感器响应延迟，信号滞后2秒,14,2,1,0,信号,1,7.0
离心泵空转异响，进口阀门未打开导致气蚀,19,2,0,0,异响,1,9.5
液压缸密封件损坏导致漏油，每小时泄漏5ml,21,2,1,0,"液压缸, 泄漏",2,10.5
变频器散热风扇故障，散热片温度达75℃,19,2,2,1,"风扇, 故障, 变频器",3,9.5
电机负载达额定120%时出现过热，绕组温度升至105℃,27,2,6,2,电机,1,13.5
传感器无输出信号，接线端子接触不良,17,2,0,0,信号,1,8.5
变频器过压报警，直流母线电压达800V,19,2,3,0,变频器,1,9.5
变频器参数紊乱，加速时间被异常修改,17,2,0,0,"参数, 变频器",2,8.5
轴承润滑脂干涸，出现干摩擦异响,15,2,0,0,"异响, 轴, 轴承, 润滑脂",4,7.5
继电器线圈烧毁，电阻值无穷大,14,2,0,0,继电器,1,7.0
电机连续运行8小时后出现异响，振动值超额定20%,24,2,3,1,"振动, 异响, 电机",3,12.0
离心泵流量不足，出口管路堵塞,14,2,0,0,无,0,7.0
PLC程序报错，梯形图逻辑错误导致误动作,20,2,0,0,"程序, PLC",2,10.0
PLC断电记忆丢失，参数恢复至出厂默认值,20,2,0,0,"参数, PLC",2,10.0
液压缸动作卡顿，换向时出现滞涩现象,17,2,0,0,液压缸,1,8.5
液压缸活塞杆变形，伸出时出现偏斜,16,2,0,0,"液压缸, 活塞杆, 变形",3,8.0
继电器触点烧蚀，接触电阻增大至5Ω,17,2,1,1,继电器,1,8.5
离心泵密封泄漏，机械密封端面磨损,16,2,0,0,"磨损, 泄漏",2,8.0
轴承间隙过大，径向游隙超0.15mm,18,2,3,0,"轴, 轴承",2,9.0
轴承滚珠破损，振动频谱出现冲击峰值,17,2,0,0,"振动, 轴, 轴承",3,8.5
继电器误动作，无输入信号时触点自行闭合,19,2,0,0,"信号, 继电器",2,9.5
离心泵叶轮磨损，流量下降至额定70%,18,2,2,1,磨损,1,9.0
电机轴承润滑不足导致转速异常，输出转速波动±5%,24,2,1,1,"转速, 轴, 轴承, 电机",4,12.0
PLC输入输出点I0.2损坏，无信号输入,20,2,2,0,"信号, 输入输出, PLC",3,10.0
轴承温升过高，连续运行2小时后温度达80℃,21,2,3,1,"轴, 轴承, 温升",3,10.5
传感器抗干扰差，受电磁干扰出现跳变,17,2,0,0,无,0,8.5
传感器数值漂移，测量值比实际值高10%,19,2,2,1,无,0,9.5
液压缸压力不足，工作压力仅达额定60%,19,2,2,1,"压力不足, 液压缸",2,9.5
